		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 	In 	In Air	Temp	Temp	Temp	Hum	Hum		Soil 1	Soil 2	Soil 3	Soil 4	Soil 	Soil 	Soil 	Soil 	Leaf	Leaf	Leaf 	Leaf 	Wind	Wind	ISS 	Arc.
04/03/22	5:00 a	20.3	20.5	19.9	20	-3.4	3.2	SSW	1.61	8.0	SSW	20.3	17.7	17.7	---	1005.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.041	22.1	29	3.2	20.4	5.98	1.1775	---	---	---	---	---	0.10	---	---	---	---	---	---	---	---	---	---	---	---	699	1	100.0	30
04/03/22	5:30 a	19.9	20.3	19.9	20	-3.7	3.2	SSW	1.61	6.4	SSW	19.9	17.4	17.4	---	1005.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.034	22.1	29	3.2	20.5	5.98	1.1774	---	---	---	---	---	0.00	---	---	---	---	---	---	---	---	---	---	---	---	693	1	100.0	30
04/03/22	6:00 a	20.3	20.3	19.9	21	-2.8	1.6	SSW	0.80	6.4	SSW	20.3	17.8	17.8	---	1005.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.041	22.1	29	3.2	20.4	5.98	1.1778	---	---	---	---	---	0.10	---	---	---	---	---	---	---	---	---	---	---	---	694	1	100.0	30
04/03/22	6:30 a	19.3	20.2	18.9	30	1.3	4.8	W	2.41	9.7	WSW	19.3	17.4	17.4	---	1005.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.021	22.1	29	3.2	20.4	5.98	1.1780	---	---	---	---	---	0.00	---	---	---	---	---	---	---	---	---	---	---	---	701	1	100.0	30
04/03/22	7:00 a	18.7	19.3	18.7	33	2.1	4.8	W	2.41	9.7	WNW	18.7	16.9	16.9	---	1005.5	0.00	0.0	2	0.09	12	0.0	0.00	0.0	0.000	0.007	22.1	29	3.2	20.4	5.98	1.1781	---	---	---	---	---	0.08	---	---	---	---	---	---	---	---	---	---	---	---	693	1	100.0	30
04/03/22	7:30 a	18.3	18.7	18.2	33	1.8	4.8	N	2.41	8.0	NW	18.3	16.6	16.6	---	1005.7	0.00	0.0	27	1.16	49	0.0	0.00	0.0	0.000	0.000	22.1	29	3.2	20.4	5.98	1.1784	---	---	---	---	---	0.00	---	---	---	---	---	---	---	---	---	---	---	---	695	1	100.0	30
04/03/22	8:00 a	19.3	19.3	18.3	34	3.0	3.2	N	1.61	8.0	N	19.3	17.6	17.6	---	1005.8	0.00	0.0	86	3.70	105	0.0	0.00	0.0	0.000	0.020	22.1	29	3.2	20.4	5.98	1.1784	---	---	---	---	---	0.08	---	---	---	---	---	---	---	---	---	---	---	---	699	1	100.0	30
04/03/22	8:30 a	19.8	19.8	19.3	33	3.1	1.6	N	0.80	4.8	N	19.8	18.1	18.1	---	1006.2	0.00	0.0	126	5.42	183	0.0	0.00	0.0	0.000	0.031	22.1	29	3.2	20.4	5.98	1.1789	---	---	---	---	---	0.00	---	---	---	---	---	---	---	---	---	---	---	---	695	1	100.0	30
04/03/22	9:00 a	20.8	20.8	19.8	28	1.6	1.6	N	0.80	6.4	N	20.8	18.7	18.7	---	1006.4	0.00	0.0	180	7.74	207	0.0	0.00	0.0	0.000	0.051	22.1	29	3.2	20.5	5.98	1.1789	---	---	---	---	---	0.13	---	---	---	---	---	---	---	---	---	---	---	---	696	1	100.0	30
04/03/22	9:30 a	23.3	23.3	20.8	23	1.0	0.0	WNW	0.00	3.2	WNW	23.3	21.9	21.9	---	1006.6	0.00	0.0	227	9.76	288	0.2	0.04	0.6	0.000	0.104	22.1	29	3.2	20.5	5.98	1.1791	---	---	---	---	---	0.00	---	---	---	---	---	---	---	---	---	---	---	---	700	1	100.0	30
04/03/22	10:00 a	26.2	26.4	23.4	17	-0.8	0.0	W	0.00	4.8	W	26.2	24.7	24.7	---	1006.5	0.00	0.0	364	15.65	420	0.7	0.15	0.9	0.000	0.163	22.3	29	3.4	20.8	5.96	1.1780	---	---	---	---	---	0.20	---	---	---	---	---	---	---	---	---	---	---	---	695	1	100.0	30
01/01/22	12:30 a	7.4	7.4	6.6	58	-0.3	4.8	WSW	2.41	11.3	W	6.9	6.9	6.4	---	1014.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.227	0.000	11.4	43	-0.8	10.4	8.35	1.2355	---	---	---	---	---	0.00	---	---	---	---	---	---	---	---	---	---	---	---	693	1	100.0	30
01/01/22	1:00 a	6.9	7.6	6.9	64	0.6	4.8	WNW	2.41	8.0	WNW	6.4	6.6	6.0	---	1014.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.237	0.000	11.4	43	-0.8	10.4	8.35	1.2355	---	---	---	---	---	0.05	---	---	---	---	---	---	---	---	---	---	---	---	702	1	100.0	30
01/01/22	1:30 a	6.4	6.9	6.4	62	-0.4	6.4	N	3.22	11.3	N	5.2	5.9	4.7	---	1014.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.249	0.000	11.4	43	-0.8	10.4	8.35	1.2354	---	---	---	---	---	0.00	---	---	---	---	---	---	---	---	---	---	---	---	691	1	100.0	30
01/01/22	2:00 a	6.3	6.4	6.3	63	-0.2	4.8	N	2.41	8.0	N	5.7	5.9	5.3	---	1014.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.250	0.000	11.4	43	-0.8	10.4	8.35	1.2356	---	---	---	---	---	0.03	---	---	---	---	---	---	---	---	---	---	---	---	702	1	100.0	30
01/01/22	2:30 a	6.3	6.4	6.2	65	0.2	3.2	N	1.61	6.4	N	6.3	5.9	5.9	---	1014.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.251	0.000	11.4	43	-0.8	10.4	8.35	1.2355	---	---	---	---	---	0.00	---	---	---	---	---	---	---	---	---	---	---	---	698	1	100.0	30
01/01/22	3:00 a	4.6	6.3	4.6	64	-1.7	1.6	N	0.80	4.8	N	4.6	4.2	4.2	---	1014.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.287	0.000	11.4	43	-0.8	10.4	8.35	1.2359	---	---	---	---	---	0.03	---	---	---	---	---	---	---	---	---	---	---	---	694	1	100.0	30
01/01/22	3:30 a	2.8	4.6	2.7	64	-3.4	4.8	N	2.41	8.0	N	1.7	2.4	1.3	---	1014.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.324	0.000	11.3	43	-0.8	10.3	8.35	1.2361	---	---	---	---	---	0.00	---	---	---	---	---	---	---	---	---	---	---	---	702	1	100.0	30
01/01/22	4:00 a	3.3	3.3	2.7	66	-2.4	4.8	WNW	2.41	9.7	WNW	2.3	2.9	1.9	---	1014.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.313	0.000	11.3	43	-0.8	10.3	8.35	1.2359	---	---	---	---	---	0.03	---	---	---	---	---	---	---	---	---	---	---	---	698	1	100.0	30
01/01/22	4:30 a	3.6	4.1	3.3	64	-2.6	4.8	WNW	2.41	9.7	WNW	2.6	3.2	2.2	---	1014.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.308	0.000	11.3	42	-1.1	10.3	8.20	1.2359	---	---	---	---	---	0.00	---	---	---	---	---	---	---	---	---	---	---	---	689	1	100.0	30
01/01/22	5:00 a	3.1	3.6	3.0	64	-3.0	4.8	W	2.41	9.7	WNW	2.1	2.7	1.7	---	1014.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.317	0.000	11.3	42	-1.1	10.3	8.20	1.2358	---	---	---	---	---	0.03	---	---	---	---	---	---	---	---	---	---	---	---	700	1	100.0	30
01/01/22	5:30 a	5.3	5.3	3.1	61	-1.6	4.8	W	2.41	9.7	W	4.5	4.8	4.1	---	1014.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.272	0.000	11.3	42	-1.1	10.3	8.20	1.2355	---	---	---	---	---	0.00	---	---	---	---	---	---	---	---	---	---	---	---	698	1	100.0	30
01/01/22	6:00 a	6.1	6.1	5.3	60	-1.1	4.8	WNW	2.41	9.7	WNW	5.4	5.7	5.0	---	1013.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.255	0.000	11.3	42	-1.2	10.2	8.20	1.2355	---	---	---	---	---	0.03	---	---	---	---	---	---	---	---	---	---	---	---	691	1	100.0	30
01/01/22	6:30 a	6.0	6.3	5.9	60	-1.2	4.8	WNW	2.41	9.7	NW	5.3	5.6	4.9	---	1013.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.257	0.000	11.3	42	-1.2	10.2	8.20	1.2354	---	---	---	---	---	0.00	---	---	---	---	---	---	---	---	---	---	---	---	701	1	100.0	30
01/01/22	7:00 a	5.4	6.0	5.3	62	-1.3	4.8	NNW	2.41	9.7	NNW	4.6	4.9	4.2	---	1013.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.270	0.000	11.2	42	-1.2	10.2	8.21	1.2359	---	---	---	---	---	0.03	---	---	---	---	---	---	---	---	---	---	---	---	694	1	100.0	30
01/01/22	7:30 a	5.3	5.4	5.3	64	-1.0	3.2	NNW	1.61	6.4	NNW	5.3	4.9	4.9	---	1014.2	0.00	0.0	4	0.17	12	0.0	0.00	0.0	0.272	0.000	11.2	42	-1.2	10.2	8.21	1.2362	---	---	---	---	---	0.00	---	---	---	---	---	---	---	---	---	---	---	---	699	1	100.0	30
01/01/22	8:00 a	5.3	5.3	5.3	63	-1.2	1.6	NNW	0.80	6.4	NNW	5.3	4.9	4.9	---	1014.5	0.00	0.0	24	1.03	35	0.0	0.00	0.0	0.272	0.000	11.2	42	-1.2	10.2	8.21	1.2366	---	---	---	---	---	0.03	---	---	---	---	---	---	---	---	---	---	---	---	702	1	100.0	30
01/01/22	8:30 a	5.7	5.7	5.3	63	-0.8	0.0	NNW	0.00	1.6	NNW	5.7	5.3	5.3	---	1014.7	0.00	0.0	45	1.94	58	0.0	0.00	0.0	0.263	0.000	11.2	42	-1.2	10.2	8.21	1.2368	---	---	---	---	---	0.00	---	---	---	---	---	---	---	---	---	---	---	---	692	1	100.0	30
01/01/22	9:00 a	6.6	6.6	5.7	62	-0.2	1.6	NNW	0.80	8.0	NNW	6.6	6.1	6.1	---	1014.9	0.00	0.0	77	3.31	86	0.0	0.00	0.0	0.245	0.000	11.2	42	-1.2	10.2	8.21	1.2371	---	---	---	---	---	0.03	---	---	---	---	---	---	---	---	---	---	---	---	700	1	100.0	30
01/01/22	9:30 a	6.8	6.9	6.6	60	-0.4	3.2	NNW	1.61	8.0	NNW	6.8	6.4	6.4	---	1015.1	0.00	0.0	96	4.13	113	0.0	0.00	0.0	0.240	0.000	11.2	42	-1.2	10.2	8.21	1.2373	---	---	---	---	---	0.00	---	---	---	---	---	---	---	---	---	---	---	---	693	1	100.0	30
01/01/22	10:00 a	7.7	7.7	6.8	58	-0.0	4.8	NNW	2.41	9.7	NNW	7.3	7.2	6.8	---	1015.1	0.00	0.0	130	5.59	141	0.0	0.00	0.0	0.221	0.000	11.2	42	-1.2	10.2	8.21	1.2373	---	---	---	---	---	0.08	---	---	---	---	---	---	---	---	---	---	---	---	701	1	100.0	30
01/01/22	10:30 a	8.3	8.3	7.8	57	0.3	3.2	NNW	1.61	4.8	NNW	8.3	7.8	7.8	---	1015.1	0.00	0.0	92	3.96	120	0.0	0.00	0.0	0.208	0.000	11.2	42	-1.2	10.2	8.21	1.2374	---	---	---	---	---	0.00	---	---	---	---	---	---	---	---	---	---	---	---	692	1	100.0	30
01/01/22	11:00 a	9.1	9.1	8.3	55	0.5	4.8	NNW	2.41	8.0	NNW	8.8	8.6	8.2	---	1014.9	0.00	0.0	188	8.09	234	0.2	0.04	0.5	0.192	0.000	11.2	42	-1.2	10.2	8.21	1.2371	---	---	---	---	---	0.08	---	---	---	---	---	---	---	---	---	---	---	---	703	1	100.0	30
01/01/22	11:30 a	10.2	10.2	9.1	53	1.0	3.2	NNW	1.61	6.4	NNW	10.2	9.6	9.6	---	1014.3	0.00	0.0	228	9.81	239	0.5	0.11	0.6	0.170	0.000	11.3	42	-1.2	10.2	8.20	1.2361	---	---	---	---	---	0.00	---	---	---	---	---	---	---	---	---	---	---	---	694	1	100.0	30
01/01/22	12:00 p	11.1	11.1	10.2	51	1.3	1.6	NNW	0.80	4.8	NNW	11.1	10.3	10.3	---	1014.1	0.00	0.0	239	10.28	271	0.6	0.13	0.6	0.152	0.000	11.2	42	-1.2	10.2	8.21	1.2361	---	---	---	---	---	0.13	---	---	---	---	---	---	---	---	---	---	---	---	695	1	100.0	30
01/01/22	12:30 p	11.4	11.4	11.1	52	1.9	4.8	NNW	2.41	9.7	NNW	11.4	10.6	10.6	---	1013.6	0.00	0.0	197	8.47	211	0.1	0.02	0.5	0.145	0.000	11.2	42	-1.2	10.2	8.21	1.2355	---	---	---	---	---	0.00	---	---	---	---	---	---	---	---	---	---	---	---	701	1	100.0	30
01/01/22	1:00 p	11.7	11.7	11.4	56	3.2	3.2	NNW	1.61	9.7	NNW	11.7	10.9	10.9	---	1013.2	0.00	0.0	158	6.79	188	0.0	0.00	0.0	0.139	0.000	11.2	42	-1.2	10.2	8.21	1.2350	---	---	---	---	---	0.10	---	---	---	---	---	---	---	---	---	---	---	---	695	1	100.0	30
01/01/22	1:30 p	11.9	11.9	11.7	59	4.2	3.2	NNW	1.61	8.0	NNW	11.9	11.2	11.2	---	1013.0	0.00	0.0	155	6.67	162	0.0	0.00	0.0	0.133	0.000	11.2	42	-1.2	10.2	8.21	1.2347	---	---	---	---	---	0.00	---	---	---	---	---	---	---	---	---	---	---	---	694	1	100.0	30
01/01/22	2:00 p	11.9	12.0	11.9	60	4.4	3.2	N	1.61	8.0	N	11.9	11.3	11.3	---	1012.7	0.00	0.0	118	5.07	149	0.0	0.00	0.0	0.133	0.000	11.2	42	-1.2	10.2	8.21	1.2344	---	---	---	---	---	0.08	---	---	---	---	---	---	---	---	---	---	---	---	699	1	100.0	30
01/01/22	2:30 p	12.3	12.3	11.9	55	3.5	1.6	N	0.80	4.8	N	12.3	11.4	11.4	---	1012.4	0.00	0.0	134	5.76	155	0.0	0.00	0.0	0.126	0.000	11.2	42	-1.2	10.2	8.21	1.2341	---	---	---	---	---	0.00	---	---	---	---	---	---	---	---	---	---	---	---	698	1	100.0	30
01/01/22	3:00 p	12.4	12.5	12.3	53	3.1	1.6	N	0.80	6.4	N	12.4	11.5	11.5	---	1012.3	0.00	0.0	105	4.52	141	0.0	0.00	0.0	0.124	0.000	11.2	43	-0.9	10.2	8.36	1.2338	---	---	---	---	---	0.08	---	---	---	---	---	---	---	---	---	---	---	---	694	1	100.0	30
01/01/22	3:30 p	12.5	12.5	12.3	54	3.4	3.2	N	1.61	6.4	N	12.5	11.6	11.6	---	1012.2	0.00	0.0	82	3.53	90	0.0	0.00	0.0	0.122	0.000	11.2	43	-1.0	10.2	8.37	1.2339	---	---	---	---	---	0.00	---	---	---	---	---	---	---	---	---	---	---	---	699	1	100.0	30
01/01/22	4:00 p	12.6	12.7	12.5	54	3.5	3.2	N	1.61	6.4	N	12.6	11.7	11.7	---	1012.1	0.00	0.0	59	2.54	88	0.0	0.00	0.0	0.119	0.000	11.2	43	-0.9	10.2	8.36	1.2334	---	---	---	---	---	0.05	---	---	---	---	---	---	---	---	---	---	---	---	697	1	100.0	30
01/01/22	4:30 p	12.5	12.6	12.4	55	3.7	4.8	N	2.41	8.0	N	12.5	11.7	11.7	---	1012.1	0.00	0.0	31	1.33	37	0.0	0.00	0.0	0.122	0.000	11.2	43	-1.0	10.2	8.37	1.2338	---	---	---	---	---	0.00	---	---	---	---	---	---	---	---	---	---	---	---	696	1	100.0	30
01/01/22	5:00 p	12.3	12.5	12.3	57	4.0	1.6	N	0.80	3.2	N	12.3	11.6	11.6	---	1012.0	0.00	0.0	18	0.77	26	0.0	0.00	0.0	0.125	0.000	11.2	43	-1.0	10.2	8.37	1.2337	---	---	---	---	---	0.03	---	---	---	---	---	---	---	---	---	---	---	---	697	1	100.0	30
01/01/22	5:30 p	12.2	12.3	12.2	58	4.1	0.0	N	0.00	3.2	N	12.2	11.4	11.4	---	1012.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.128	0.000	11.2	43	-1.0	10.2	8.37	1.2341	---	---	---	---	---	0.00	---	---	---	---	---	---	---	---	---	---	---	---	698	1	100.0	30
01/01/22	6:00 p	11.4	12.2	11.4	66	5.3	0.0	N	0.00	3.2	N	11.4	11.0	11.0	---	1012.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.144	0.000	11.2	43	-1.0	10.2	8.37	1.2342	---	---	---	---	---	0.00	---	---	---	---	---	---	---	---	---	---	---	---	694	1	100.0	30
01/01/22	6:30 p	10.9	11.5	10.9	69	5.5	1.6	N	0.80	8.0	N	10.9	10.6	10.6	---	1012.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.154	0.000	11.2	43	-1.0	10.2	8.37	1.2339	---	---	---	---	---	0.00	---	---	---	---	---	---	---	---	---	---	---	---	701	1	100.0	30
01/01/22	7:00 p	10.9	11.1	10.9	73	6.2	1.6	N	0.80	6.4	N	10.9	10.6	10.6	---	1012.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.155	0.000	11.1	43	-1.0	10.1	8.37	1.2344	---	---	---	---	---	0.03	---	---	---	---	---	---	---	---	---	---	---	---	695	1	100.0	30
01/01/22	7:30 p	11.2	11.2	10.8	72	6.3	1.6	N	0.80	4.8	N	11.2	10.8	10.8	---	1012.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.149	0.000	11.1	43	-1.0	10.1	8.37	1.2343	---	---	---	---	---	0.00	---	---	---	---	---	---	---	---	---	---	---	---	693	1	100.0	30
01/01/22	8:00 p	11.3	11.3	11.1	72	6.5	0.0	N	0.00	3.2	N	11.3	11.0	11.0	---	1012.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.146	0.000	11.1	43	-1.0	10.1	8.37	1.2343	---	---	---	---	---	0.03	---	---	---	---	---	---	---	---	---	---	---	---	698	1	100.0	30
01/01/22	8:30 p	11.1	11.4	11.1	74	6.6	0.0	N	0.00	3.2	N	11.1	10.8	10.8	---	1012.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.150	0.000	11.1	43	-1.0	10.1	8.37	1.2341	---	---	---	---	---	0.00	---	---	---	---	---	---	---	---	---	---	---	---	693	1	100.0	30
01/01/22	9:00 p	10.8	11.1	10.8	75	6.5	1.6	N	0.80	4.8	N	10.8	10.6	10.6	---	1012.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.157	0.000	11.1	43	-1.0	10.1	8.37	1.2340	---	---	---	---	---	0.03	---	---	---	---	---	---	---	---	---	---	---	---	699	1	100.0	30
01/01/22	9:30 p	10.7	10.9	10.7	75	6.4	3.2	N	1.61	4.8	N	10.7	10.4	10.4	---	1011.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.160	0.000	11.1	43	-1.0	10.1	8.37	1.2338	---	---	---	---	---	0.00	---	---	---	---	---	---	---	---	---	---	---	---	693	1	100.0	30
01/01/22	10:00 p	9.9	10.7	9.9	76	5.9	3.2	N	1.61	6.4	N	9.9	9.8	9.8	---	1012.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.175	0.000	11.1	43	-1.1	10.1	8.37	1.2341	---	---	---	---	---	0.03	---	---	---	---	---	---	---	---	---	---	---	---	697	1	100.0	30
01/01/22	10:30 p	9.9	9.9	9.9	74	5.5	3.2	N	1.61	4.8	N	9.9	9.7	9.7	---	1011.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.176	0.000	11.1	43	-1.0	10.1	8.37	1.2332	---	---	---	---	---	0.00	---	---	---	---	---	---	---	---	---	---	---	---	697	1	100.0	30
01/01/22	11:00 p	9.2	9.9	9.2	76	5.2	3.2	N	1.61	8.0	N	9.2	9.1	9.1	---	1011.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.190	0.000	11.1	43	-1.0	10.1	8.37	1.2330	---	---	---	---	---	0.03	---	---	---	---	---	---	---	---	---	---	---	---	694	1	100.0	30
01/01/22	11:30 p	9.1	9.4	9.1	74	4.7	1.6	N	0.80	6.4	N	9.1	8.9	8.9	---	1011.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.192	0.000	11.2	43	-1.0	10.2	8.37	1.2328	---	---	---	---	---	0.00	---	---	---	---	---	---	---	---	---	---	---	---	702	1	100.0	30
01/02/22	12:00 a	8.2	9.2	8.2	77	4.4	3.2	N	1.61	8.0	N	8.2	8.0	8.0	---	1011.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.212	0.000	11.2	43	-1.0	10.2	8.37	1.2327	---	---	---	---	---	0.03	---	---	---	---	---	---	---	---	---	---	---	---	694	1	100.0	30
01/02/22	12:30 a	8.3	8.3	8.1	74	4.0	3.2	N	1.61	6.4	N	8.3	8.2	8.2	---	1011.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.208	0.000	11.1	43	-1.0	10.1	8.37	1.2329	---	---	---	---	---	0.00	---	---	---	---	---	---	---	---	---	---	---	---	702	1	100.0	30
01/02/22	1:00 a	8.1	8.5	8.1	73	3.6	4.8	N	2.41	9.7	N	7.7	7.9	7.5	---	1011.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.213	0.000	11.1	43	-1.0	10.1	8.37	1.2327	---	---	---	---	---	0.03	---	---	---	---	---	---	---	---	---	---	---	---	694	1	100.0	30
01/02/22	1:30 a	7.8	8.1	7.8	74	3.5	4.8	N	2.41	9.7	N	7.4	7.6	7.2	---	1010.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.219	0.000	11.1	43	-1.0	10.1	8.37	1.2324	---	---	---	---	---	0.00	---	---	---	---	---	---	---	---	---	---	---	---	702	1	100.0	30
01/02/22	2:00 a	7.5	7.8	7.4	77	3.7	4.8	N	2.41	9.7	N	7.0	7.3	6.8	---	1010.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.226	0.000	11.1	44	-0.7	10.2	8.51	1.2320	---	---	---	---	---	0.03	---	---	---	---	---	---	---	---	---	---	---	---	689	1	100.0	30
01/02/22	2:30 a	7.3	7.5	7.3	76	3.4	4.8	N	2.41	9.7	N	6.8	7.1	6.6	---	1010.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.229	0.000	11.1	44	-0.7	10.2	8.51	1.2320	---	---	---	---	---	0.00	---	---	---	---	---	---	---	---	---	---	---	---	703	1	100.0	30
01/02/22	3:00 a	7.2	7.4	7.2	76	3.2	8.0	WNW	4.02	14.5	WNW	5.7	6.9	5.4	---	1010.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.233	0.000	11.1	44	-0.7	10.2	8.51	1.2324	---	---	---	---	---	0.03	---	---	---	---	---	---	---	---	---	---	---	---	694	1	100.0	30
01/02/22	3:30 a	7.1	7.2	7.0	75	2.9	8.0	NNW	4.02	16.1	NNW	5.6	6.8	5.3	---	1010.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.235	0.000	11.1	44	-0.7	10.2	8.51	1.2317	---	---	---	---	---	0.00	---	---	---	---	---	---	---	---	---	---	---	---	701	1	100.0	30
01/02/22	4:00 a	6.6	7.1	6.6	76	2.6	4.8	NNW	2.41	8.0	NNW	5.9	6.3	5.7	---	1010.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.245	0.000	11.1	44	-0.8	10.1	8.51	1.2321	---	---	---	---	---	0.03	---	---	---	---	---	---	---	---	---	---	---	---	696	1	100.0	30
